selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_resonance_skill,aemeath_form_switch_to_mech_normal,aemeath,aemeath,0.0,0.5,0.0,0.5,0.5,0.5,3807.8047540083026,3807.8047540083026,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,aemeath,0.5,0.5,0.5,0.5,0.0,0.0,0.0,3807.8047540083026,0.0,0.0,False
lynae_resonance_skill,lynae_resonance_skill_palette,lynae,lynae,0.5,1.7833333333333334,0.5,1.7833333333333334,1.2833333333333334,1.2833333333333334,9472.807914521018,13280.61266852932,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,lynae,1.7833333333333334,1.7833333333333334,1.7833333333333334,1.7833333333333334,0.0,0.0,0.0,13280.61266852932,0.0,0.0,False
short_wait,short_wait,,mornye,1.7833333333333334,2.283333333333333,1.7833333333333334,2.283333333333333,0.5,0.5,0.0,13280.61266852932,0.0,0.0,False
mornye_resonance_skill,mornye_skill_expectation_error,mornye,mornye,2.283333333333333,2.6333333333333333,2.283333333333333,2.6333333333333333,0.35,0.35,0.0,13280.61266852932,0.0,0.0,False
mornye_echo_reactor_husk,mornye_echo_reactor_husk,mornye,mornye,2.6333333333333333,3.7333333333333334,2.6333333333333333,3.7333333333333334,1.1,1.1,2071.3932654700507,15352.005933999371,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,3.7333333333333334,3.7333333333333334,3.7333333333333334,3.7333333333333334,0.0,0.0,0.0,15352.005933999371,0.0,0.0,False
lynae_resonance_liberation,lynae_resonance_liberation_prismatic_overblast,lynae,lynae,3.7333333333333334,7.733333333333333,3.7333333333333334,3.7333333333333334,0.0,0.0,28501.404397599254,43853.41033159863,0.0,0.0,False
lynae_echo_hyvatia,lynae_echo_hyvatia,lynae,lynae,7.733333333333333,8.933333333333334,3.7333333333333334,4.933333333333334,1.2,1.2,10347.330985049632,54200.74131664826,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,lynae,8.933333333333334,8.933333333333334,4.933333333333334,4.933333333333334,0.0,0.0,0.0,54200.74131664826,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,mornye,8.933333333333334,8.933333333333334,4.933333333333334,4.933333333333334,0.0,0.0,0.0,54200.74131664826,0.0,0.0,False
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,8.933333333333334,13.3,4.933333333333334,4.933333333333334,0.0,0.0,92778.11306131657,146978.85437796483,0.0,0.0,False
short_wait,short_wait,,aemeath,13.3,13.8,4.933333333333334,5.433333333333334,0.5,0.5,0.0,146978.85437796483,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,13.8,14.566666666666668,5.433333333333334,6.2,0.7666666666666667,0.7666666666666667,5905.219440824638,152884.07381878947,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,14.566666666666668,15.533333333333335,6.2,7.166666666666667,0.9666666666666667,0.9666666666666667,8804.592197960696,161688.66601675018,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,aemeath,15.533333333333335,15.533333333333335,7.166666666666667,7.166666666666667,0.0,0.0,0.0,161688.66601675018,0.0,0.0,False
mornye_resonance_liberation,mornye_liberation_critical_protocol,mornye,mornye,15.533333333333335,20.233333333333334,7.166666666666667,7.166666666666667,0.0,0.0,29959.78579474985,191648.45181150004,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,20.233333333333334,20.233333333333334,7.166666666666667,7.166666666666667,0.0,0.0,0.0,191648.45181150004,0.0,0.0,False
lynae_basic_attack,lynae_to_a_vivid_tomorrow,lynae,lynae,20.233333333333334,22.71666666666667,7.166666666666667,9.65,2.4833333333333334,2.4833333333333334,8896.5943362181,200545.04614771815,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,lynae,22.71666666666667,22.71666666666667,9.65,9.65,0.0,0.0,0.0,200545.04614771815,0.0,0.0,False
mornye_resonance_skill,mornye_skill_expectation_error,mornye,mornye,22.71666666666667,23.06666666666667,9.65,10.0,0.35,0.35,0.0,200545.04614771815,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,mornye,23.06666666666667,23.06666666666667,10.0,10.0,0.0,0.0,0.0,200545.04614771815,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,23.06666666666667,24.083333333333336,10.0,11.016666666666666,1.0166666666666666,1.0166666666666666,14186.197251914738,214731.2433996329,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_1,aemeath,aemeath,24.083333333333336,24.583333333333336,11.016666666666666,11.516666666666666,0.5,0.5,7336.0526690932875,222067.29606872617,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,24.583333333333336,25.35,11.516666666666666,12.283333333333333,0.7666666666666667,0.7666666666666667,9784.565650458766,231851.86171918493,0.0,0.0,False
aemeath_echo_sigillum,aemeath_echo_sigillum,aemeath,aemeath,25.35,25.35,12.283333333333333,12.283333333333333,0.0,0.0,0.0,231851.86171918493,0.0,0.0,False
