selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,0.0,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,2377.8023049610447,2377.8023049610447,0.0,0.0,False
short_wait,short_wait,,aemeath,0.38333333333333336,0.8833333333333333,0.38333333333333336,0.8833333333333333,0.5,0.5,0.0,2377.8023049610447,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,aemeath,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.0,0.0,0.0,2377.8023049610447,0.0,0.0,False
mornye_resonance_skill,mornye_skill_expectation_error,mornye,mornye,0.8833333333333333,1.2333333333333334,0.8833333333333333,1.2333333333333334,0.35,0.35,0.0,2377.8023049610447,0.0,0.0,False
short_wait,short_wait,,mornye,1.2333333333333334,1.7333333333333334,1.2333333333333334,1.7333333333333334,0.5,0.5,0.0,2377.8023049610447,0.0,0.0,False
mornye_basic_attack,mornye_basic_stage_1,mornye,mornye,1.7333333333333334,2.15,1.7333333333333334,2.15,0.4166666666666667,0.4166666666666667,1022.2278916037181,3400.0301965647627,0.0,0.0,False
mornye_basic_attack,mornye_basic_stage_2,mornye,mornye,2.15,2.966666666666667,2.15,2.966666666666667,0.8166666666666667,0.8166666666666667,2190.199892730395,5590.230089295157,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,2.966666666666667,2.966666666666667,2.966666666666667,2.966666666666667,0.0,0.0,0.0,5590.230089295157,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,lynae,2.966666666666667,2.966666666666667,2.966666666666667,2.966666666666667,0.0,0.0,0.0,5590.230089295157,0.0,0.0,False
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,2.966666666666667,7.333333333333333,2.966666666666667,2.966666666666667,0.0,0.0,74821.05892041659,80411.28900971175,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,7.333333333333333,8.1,2.966666666666667,3.7333333333333334,0.7666666666666667,0.7666666666666667,4762.273742600514,85173.56275231227,0.0,0.0,False
short_wait,short_wait,,aemeath,8.1,8.6,3.7333333333333334,4.233333333333333,0.5,0.5,0.0,85173.56275231227,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,aemeath,8.6,8.6,4.233333333333333,4.233333333333333,0.0,0.0,0.0,85173.56275231227,0.0,0.0,False
lynae_basic_attack,lynae_basic_stage_1,lynae,lynae,8.6,9.116666666666667,4.233333333333333,4.75,0.5166666666666667,0.5166666666666667,3075.624455862309,88249.18720817458,0.0,0.0,False
lynae_resonance_liberation,lynae_resonance_liberation_prismatic_overblast,lynae,lynae,9.116666666666667,13.116666666666667,4.75,4.75,0.0,0.0,28501.404397599254,116750.59160577384,0.0,0.0,False
lynae_resonance_skill,lynae_resonance_skill_palette,lynae,lynae,13.116666666666667,14.4,4.75,6.033333333333333,1.2833333333333334,1.2833333333333334,11746.281814006063,128496.8734197799,0.0,0.0,False
lynae_echo_hyvatia,lynae_echo_hyvatia,lynae,lynae,14.4,15.6,6.033333333333333,7.233333333333333,1.2,1.2,10347.330985049632,138844.20440482954,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,lynae,15.6,15.6,7.233333333333333,7.233333333333333,0.0,0.0,0.0,138844.20440482954,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,15.6,16.566666666666666,7.233333333333333,8.2,0.9666666666666667,0.9666666666666667,8804.592197960696,147648.79660279024,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,16.566666666666666,17.583333333333332,8.2,9.216666666666665,1.0166666666666666,1.0166666666666666,14186.197251914738,161834.99385470498,0.0,0.0,False
