selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_basic_attack,aemeath_basic_form_stage_1,aemeath,aemeath,0.0,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,2377.8023049610447,2377.8023049610447,0.0,0.0,False
aemeath_heavy_attack,aemeath_heavy_aemeath_charged_1,aemeath,aemeath,0.38333333333333336,1.5833333333333333,0.38333333333333336,1.5833333333333333,1.2,1.2,6917.829226093378,9295.631531054423,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,aemeath,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,0.0,0.0,0.0,9295.631531054423,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,lynae,1.5833333333333333,1.5833333333333333,1.5833333333333333,1.5833333333333333,0.0,0.0,0.0,9295.631531054423,0.0,0.0,False
short_wait,short_wait,,mornye,1.5833333333333333,2.083333333333333,1.5833333333333333,2.083333333333333,0.5,0.5,0.0,9295.631531054423,0.0,0.0,False
mornye_resonance_liberation,mornye_liberation_critical_protocol,mornye,mornye,2.083333333333333,6.783333333333333,2.083333333333333,2.083333333333333,0.0,0.0,24161.11757641117,33456.74910746559,0.0,0.0,False
mornye_basic_attack,mornye_basic_stage_1,mornye,mornye,6.783333333333333,7.2,2.083333333333333,2.4999999999999996,0.4166666666666667,0.4166666666666667,1022.2278916037181,34478.97699906931,0.0,0.0,False
mornye_basic_attack,mornye_basic_stage_2,mornye,mornye,7.2,8.016666666666667,2.4999999999999996,3.3166666666666664,0.8166666666666667,0.8166666666666667,2190.199892730395,36669.1768917997,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,8.016666666666667,8.016666666666667,3.3166666666666664,3.3166666666666664,0.0,0.0,0.0,36669.1768917997,0.0,0.0,False
lynae_resonance_liberation,lynae_resonance_liberation_prismatic_overblast,lynae,lynae,8.016666666666667,12.016666666666667,3.3166666666666664,3.3166666666666664,0.0,0.0,28501.404397599254,65170.58128939896,0.0,0.0,False
lynae_resonance_skill,lynae_resonance_skill_palette,lynae,lynae,12.016666666666667,13.3,3.3166666666666664,4.6,1.2833333333333334,1.2833333333333334,11746.281814006063,76916.86310340502,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,lynae,13.3,13.3,4.6,4.6,0.0,0.0,0.0,76916.86310340502,0.0,0.0,False
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,13.3,17.666666666666668,4.6,4.6,0.0,0.0,92778.11306131657,169694.9761647216,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,17.666666666666668,18.433333333333334,4.6,5.366666666666666,0.7666666666666667,0.7666666666666667,5905.219440824638,175600.19560554624,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,18.433333333333334,19.4,5.366666666666666,6.333333333333333,0.9666666666666667,0.9666666666666667,8804.592197960696,184404.78780350694,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,19.4,20.416666666666664,6.333333333333333,7.35,1.0166666666666666,1.0166666666666666,14186.197251914738,198590.98505542168,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_1,aemeath,aemeath,20.416666666666664,20.916666666666664,7.35,7.85,0.5,0.5,7336.0526690932875,205927.03772451496,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,20.916666666666664,21.68333333333333,7.85,8.616666666666667,0.7666666666666667,0.7666666666666667,9784.565650458766,215711.60337497373,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,21.68333333333333,22.649999999999995,8.616666666666667,9.583333333333334,0.9666666666666667,0.9666666666666667,11462.58229545826,227174.185670432,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,22.649999999999995,23.66666666666666,9.583333333333334,10.600000000000001,1.0166666666666666,1.0166666666666666,14186.197251914738,241360.38292234673,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_1,aemeath,aemeath,23.66666666666666,24.16666666666666,10.600000000000001,11.100000000000001,0.5,0.5,7336.0526690932875,248696.43559144,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,24.16666666666666,24.933333333333326,11.100000000000001,11.866666666666669,0.7666666666666667,0.7666666666666667,9784.565650458766,258481.00124189878,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,aemeath,24.933333333333326,24.933333333333326,11.866666666666669,11.866666666666669,0.0,0.0,0.0,258481.00124189878,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,24.933333333333326,24.933333333333326,11.866666666666669,11.866666666666669,0.0,0.0,0.0,258481.00124189878,0.0,0.0,False
lynae_resonance_skill,lynae_resonance_skill_palette,lynae,lynae,24.933333333333326,26.21666666666666,11.866666666666669,13.150000000000002,1.2833333333333334,1.2833333333333334,11746.281814006063,270227.28305590485,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,lynae,26.21666666666666,26.21666666666666,13.150000000000002,13.150000000000002,0.0,0.0,0.0,270227.28305590485,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,26.21666666666666,27.183333333333326,13.150000000000002,14.116666666666669,0.9666666666666667,0.9666666666666667,11462.58229545826,281689.8653513631,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,27.183333333333326,28.199999999999992,14.116666666666669,15.133333333333336,1.0166666666666666,1.0166666666666666,14186.197251914738,295876.06260327785,0.0,0.0,False
