selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,0.0,4.366666666666666,0.0,0.0,0.0,0.0,74821.05892041659,74821.05892041659,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,aemeath,4.366666666666666,4.366666666666666,0.0,0.0,0.0,0.0,0.0,74821.05892041659,0.0,0.0,False
lynae_resonance_liberation,lynae_resonance_liberation_prismatic_overblast,lynae,lynae,4.366666666666666,8.366666666666667,0.0,0.0,0.0,0.0,28501.404397599254,103322.46331801584,0.0,0.0,False
lynae_echo_hyvatia,lynae_echo_hyvatia,lynae,lynae,8.366666666666667,9.566666666666666,0.0,1.2,1.2,1.2,10347.330985049632,113669.79430306547,0.0,0.0,False
swap_to_mornye,swap_to_mornye,mornye,lynae,9.566666666666666,9.566666666666666,1.2,1.2,0.0,0.0,0.0,113669.79430306547,0.0,0.0,False
mornye_resonance_liberation,mornye_liberation_critical_protocol,mornye,mornye,9.566666666666666,14.266666666666666,1.2,1.2,0.0,0.0,29959.78579474985,143629.5800978153,0.0,0.0,False
swap_to_aemeath,swap_to_aemeath,aemeath,mornye,14.266666666666666,14.266666666666666,1.2,1.2,0.0,0.0,0.0,143629.5800978153,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,14.266666666666666,15.033333333333333,1.2,1.9666666666666668,0.7666666666666667,0.7666666666666667,5905.219440824638,149534.79953863996,0.0,0.0,False
aemeath_echo_sigillum,aemeath_echo_sigillum,aemeath,aemeath,15.033333333333333,15.033333333333333,1.9666666666666668,1.9666666666666668,0.0,0.0,0.0,149534.79953863996,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,15.033333333333333,16.0,1.9666666666666668,2.9333333333333336,0.9666666666666667,0.9666666666666667,30955.73174151974,180490.5312801597,22151.139543559046,0.0,False
