selected_action_id,resolved_action_id,character_id,actor_character_id,time_start,time_end,combat_time_start,combat_time_end,combat_time_cost,effective_combat_time_cost,damage,total_damage_after,scheduled_damage,generated_mechanic_damage,truncated_by_combat_limit
aemeath_heavy_attack,aemeath_heavy_aemeath_charged_1,aemeath,aemeath,0.0,1.2,0.0,1.2,1.2,1.2,6917.829226093378,6917.829226093378,0.0,0.0,False
aemeath_resonance_liberation,aemeath_liberation_overdrive,aemeath,aemeath,1.2,5.566666666666666,1.2,1.2,0.0,0.0,74821.05892041659,81738.88814650997,0.0,0.0,False
short_wait,short_wait,,aemeath,5.566666666666666,6.066666666666666,1.2,1.7,0.5,0.5,0.0,81738.88814650997,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_2,aemeath,aemeath,6.066666666666666,6.833333333333333,1.7,2.466666666666667,0.7666666666666667,0.7666666666666667,4762.273742600514,86501.16188911049,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_3,aemeath,aemeath,6.833333333333333,7.8,2.466666666666667,3.4333333333333336,0.9666666666666667,0.9666666666666667,7100.477579000561,93601.63946811105,0.0,0.0,False
aemeath_echo_sigillum,aemeath_echo_sigillum,aemeath,aemeath,7.8,7.8,3.4333333333333336,3.4333333333333336,0.0,0.0,0.0,93601.63946811105,0.0,0.0,False
aemeath_basic_attack,aemeath_mech_basic_stage_4,aemeath,aemeath,7.8,8.816666666666666,3.4333333333333336,4.45,1.0166666666666666,1.0166666666666666,34697.15585601119,128298.79532412224,23256.67420124124,0.0,False
swap_to_mornye,swap_to_mornye,mornye,aemeath,8.816666666666666,8.816666666666666,4.45,4.45,0.0,0.0,0.0,128298.79532412224,0.0,0.0,False
swap_to_lynae,swap_to_lynae,lynae,mornye,8.816666666666666,8.816666666666666,4.45,4.45,0.0,0.0,0.0,128298.79532412224,0.0,0.0,False
lynae_resonance_liberation,lynae_resonance_liberation_prismatic_overblast,lynae,lynae,8.816666666666666,12.816666666666666,4.45,4.45,0.0,0.0,28501.404397599254,156800.1997217215,0.0,0.0,False
